biz_date,gmv,order_count,item_qty,cost_total,discount_total,refund_count,gross_profit,aov
2026-07-01,810.4,46,52,314.5,21.6,1,495.9,17.62
2026-07-02,919.1,48,60,358.5,33.9,1,560.6,19.15
2026-07-03,763.6,45,50,295.0,24.4,1,468.6,16.97
2026-07-04,809.2,46,54,307.0,24.8,1,502.2,17.59
2026-07-05,1050.1,54,67,406.0,23.9,0,644.1,19.45
2026-07-06,694.8,40,45,267.0,17.2,2,427.8,17.37
2026-07-07,935.0,48,58,367.5,22.0,2,567.5,19.48
2026-07-08,607.2,35,39,231.5,11.8,3,375.7,17.35
2026-07-09,913.8,45,57,358.0,18.2,0,555.8,20.31
2026-07-10,601.7,34,39,234.0,17.3,0,367.7,17.7
2026-07-11,728.7,44,51,264.5,14.3,3,464.2,16.56
2026-07-12,1040.0,59,70,388.0,26.0,2,652.0,17.63
2026-07-13,725.2,41,47,281.5,22.8,0,443.7,17.69
2026-07-14,583.8,30,37,231.5,24.2,0,352.3,19.46
2026-07-15,646.4,37,41,257.5,26.6,1,388.9,17.47
2026-07-16,788.2,45,51,301.5,18.8,0,486.7,17.52
2026-07-17,635.5,34,40,250.0,17.5,1,385.5,18.69
2026-07-18,1086.8,62,71,412.0,25.2,3,674.8,17.53
2026-07-19,1028.0,55,68,388.5,25.0,3,639.5,18.69
2026-07-20,561.2,32,35,223.0,16.8,0,338.2,17.54
2026-07-21,891.0,49,58,344.0,27.0,0,547.0,18.18
2026-07-22,639.3,36,41,245.0,14.7,2,394.3,17.76
2026-07-23,721.4,41,47,276.0,23.6,0,445.4,17.6
2026-07-24,679.6,39,45,257.5,17.4,0,422.1,17.43
2026-07-25,933.9,52,62,354.0,31.1,2,579.9,17.96
